Eaze Drop Blurring Skin Tint	Sephora	250	226	214	https://www.sephora.com/product/fenty-beauty-rihanna-eaze-drop-blurring-skin-tint-P470025?skuId=2432003	Fenty Beauty by Rihanna	25	35.0
Tinted Face Oil Comfy Skin Tint	Sephora	243	184	140	https://www.sephora.com/product/tinted-face-oil-P441884?skuId=2193621	Kosas	Tone 08	42.0
Essential High Coverage Crème Foundation	Sephora	235	216	209	https://www.sephora.com/product/essential-high-coverage-creme-foundation-P434015?skuId=2124758	Jouer Cosmetics	Praline	38.0
Maracuja Hydrating Tinted Moisturizer	Sephora	175	122	88	https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?skuId=2343465	tarte	22S light sand	30.0
Ambient Soft Glow Foundation	Sephora	224	206	192	https://www.sephora.com/product/ambient-soft-glow-foundation-P501154?skuId=2587038	Hourglass	15.5	58.0
Synchro Skin Self-Refreshing Foundation SPF 30	Sephora	250	229	200	https://www.sephora.com/product/synchro-skin-self-refreshing-foundation-spf-30-P449106?skuId=2248722	Shiseido	510	47.0
Pro Filt'r Hydrating Longwear Foundation	Sephora	255	224	177	https://www.sephora.com/product/pro-filt-r-hydrating-longwear-foundation-P448702?skuId=2267979	Fenty Beauty by Rihanna	140	13.0
Ambient Soft Glow Foundation	Sephora	224	206	192	https://www.sephora.com/product/ambient-soft-glow-foundation-P501154?skuId=2586857	Hourglass	6.5	58.0
Maracuja Hydrating Tinted Moisturizer	Sephora	175	122	88	https://www.sephora.com/product/tarte-maracuja-tinted-hydrator-P456371?skuId=2343523	tarte	36H medium	30.0
Pro Filt’r Soft Matte Longwear Powder Foundation	Sephora	250	230	223	https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?skuId=2413383	Fenty Beauty by Rihanna	130	40.0
Vanish™ Seamless Finish Foundation Stick	Sephora	246	222	212	https://www.sephora.com/product/vanish-seamless-finish-foundation-stick-P410532?skuId=1827435	Hourglass	17.5 Espresso	49.0
Even Better™ Makeup Broad Spectrum SPF 15 Foundation	Sephora	251	244	236	https://www.sephora.com/product/even-better-makeup-spf-15-P234967?skuId=1332188	CLINIQUE	CN 78 Nutty	34.0
Sheer Glow Foundation	Sephora	175	133	111	https://www.sephora.com/product/sheer-glow-foundation-P247355?skuId=2170637	NARS	Pampelune	47.0
GloWish Multidew Vegan Skin Tint Foundation	Sephora	253	225	213	https://www.sephora.com/product/huda-beauty-glowish-multidew-vegan-skin-tint-foundation-P472815?skuId=2465383	HUDA BEAUTY	03 Light	37.0
SEA Hydroflex™ Serum Foundation	Sephora	249	222	211	https://www.sephora.com/product/tarte-sea-hydroflex-trade-serum-foundation-P473000?skuId=2453702	tarte	25H light	19.0
Beautiful Skin Medium Coverage Liquid Foundation with Hyaluronic Acid	Sephora	242	220	199	https://www.sephora.com/product/charlotte-tilbury-beautiful-skin-medium-coverage-liquid-foundation-with-hyaluronic-acid-P480286?skuId=2551935	Charlotte Tilbury	9 Warm	49.0
Synchro Skin Self-Refreshing Tint SPF 20	Sephora	219	179	153	https://www.sephora.com/product/shiseido-synchro-skin-self-refreshing-tint-spf-20-P480353?skuId=2516169	Shiseido	125 Fair Asterid	43.0
Turn Up The Base Versatile Powder Foundation	Sephora	97	78	61	https://www.sephora.com/product/one-size-by-patrick-starrr-turn-up-base-versatile-powder-foundation-P469953?skuId=2426989	ONE/SIZE by Patrick Starrr	Medium Dark 5 (R)	38.0
Amazonian Clay 16-Hour Full Coverage Foundation	Sephora	239	221	199	https://www.sephora.com/product/tarte-amazonian-clay-16-hour-full-coverage-foundation-P473821?skuId=2475762	tarte	18B Fair	40.0
Studio Skin 24 Hour Full Coverage Waterproof Foundation	Sephora	241	227	218	https://www.sephora.com/product/studio-skin-full-coverage-24-hour-foundation-P447363?skuId=2251973	Smashbox	neutral	38.0
